Компания,Отрасль,Сайт,Целевая роль,ЛПР,Телефоны,Emails,Соцсети,Приоритет,Статус
АСБ Беларусбанк,Банки,belarusbank.by,Зам. по цифровизации / IT-директор,Председатель правления — Ананич В.; Заместитель председателя правления — Мельник С.Н.,+375 17 309-04-04; 147; +375 17 218-84-31; +375 17 226-47-50; +375 17 309-03-87,info@belarusbank.by,https://www.facebook.com/asb.belarusbank/,A,собран
Белагропромбанк,Банки,belapb.by,Зам. по цифровизации / IT-директор,Председатель правления — Лысюк А.А.; Первый зам. председателя правления — Василевский П.Е.,+375 17 218-57-77; 136; +375 29 198-57-77; +375 29 888-57-77; +375 25 999-57-77; +375 17 218-57-14,info@belapb.by,,A,собран
Приорбанк,Банки,priorbank.by,Зам. по цифровизации / IT-директор,Председатель правления — Альдосари М.,+375 17 289-90-90; 187; 487; +375 17 289-92-92; +375 17 289-91-91; +375 17 308-80-80; +375 17 308-85-00,prior@priorbank.by,,A,собран
Альфа-Банк (Беларусь),Банки,alfabank.by,Зам. по цифровизации / IT-директор,Председатель правления — Малышев С.В.,+375 17 217-64-64; 198; +375 44 733-33-32; +375 29 733-33-32; +375 25 733-33-32; +375 17 229-74-44,help@alfa-bank.by,,A,собран
Сбер Банк (Беларусь),Банки,sber-bank.by,Зам. по цифровизации / IT-директор,Председатель правления — Елисеев Е.В.; Заместитель председателя правления — Демиденко Е.,148; +375 29 514-81-48; +375 44 514-81-48; +375 25 514-81-48; +375 17 210-03-42; +375 17 359-99-11; +375 29 359-99-11; +375 33 348-99-11,inbox@bps-sberbank.by; inbox@sber-bank.by,,A,собран
Белгазпромбанк,Банки,belgazprombank.by,Зам. по цифровизации / IT-директор,Председатель правления — Потапова И.,+375 17 229-16-16; 120; +375 33 666-61-20; +375 44 766-61-20; +375 25 666-61-20; +375 17 229-16-29; +375 17 218-36-55,bank@bgpb.by; fi@bgpb.by,,A,собран
Банк БелВЭБ,Банки,belveb.by,Зам. по цифровизации / IT-директор,Председатель правления — Матюшевский В.С.,+375 17 215-61-15; 205,office@belveb.by,https://www.facebook.com/@belveb/,A,собран
МТБанк,Банки,mtbank.by,Зам. по цифровизации / IT-директор,Председатель правления — Шидлович Д.; Директор по информационным технологиям член правления — Казаченок Т.В.,+375 17 229-99-99; +375 17 229-99-00; +375 17 213-29-09; +375 17 229-99-01; +375 17 229-99-77; +375 29 128-99-99; +375 33 638-99-99; 7203,bank@mtbank.by; mybank@mtbank.by; HRanketa@mtbank.by,,A,собран
Банк ВТБ (Беларусь),Банки,vtb-bank.by,Зам. по цифровизации / IT-директор,Председатель правления — Лиходиевский В.,+375 17 309-15-15; 250; +375 29 309-15-15; +375 33 309-15-15; +375 29 500-56-56; +375 17 309-15-00,info@vtb-bank.by,,A,собран
Белорусский народный банк,Банки,bnb.by,Зам. по цифровизации / IT-директор,Председатель правления — Галков Ю.М.,+375 17 309-73-09; 7309; +375 29 309-73-09; +375 33 309-73-09,bnb@bnb.by; customer@bnb.by,,A,собран
Белинвестбанк,Банки,belinvestbank.by,Зам. по цифровизации / IT-директор,Председатель правления — Козаредов О.В.,+375 17 239-02-39; 146; +375 17 389-07-77; +375 29 685-00-48; +375 33 685-00-48; +375 25 685-00-48,bib@belinvestbank.by; callcenter@belinvestbank.by,,A,собран
Банк Дабрабыт,Банки,bankdabrabyt.by,Зам. по цифровизации / IT-директор,Зам. председателя правления — Клочко А.Л.; Зам. председателя правления — Володько А.Ф.; Заместитель председателя правления — Волчёк Д.Н.,+375 17 237-97-97; +375 29 522-21-11; +375 44 522-21-11; +375 25 522-21-11; +375 17 239-19-99; +375 17 239-19-19; +375 33 633-66-11; +375 29 633-66-11; +375 17 239-17-81; +375 17 239-16-12,bank@bankdabrabyt.by; doverie@bankdabrabyt.by,,A,собран
Паритетбанк,Банки,paritetbank.by,Зам. по цифровизации / IT-директор,Председатель правления — Карпов С.,+375 17 311-44-44; 171; +375 29 311-49-49; +375 25 545-49-49; +375 29 662-38-10,info@paritetbank.by,,A,собран
Технобанк,Банки,tb.by,Зам. по цифровизации / IT-директор,Председатель правления — Грузицкий Д.Ю.,+375 17 388-57-57; +375 17 237-43-73; +375 17 283-28-28,info@tb.by,,A,собран
Банк РРБ,Банки,rrb.by,Зам. по цифровизации / IT-директор,Председатель правления — Лихогруд И.,+375 17 337-02-02; 226; +375 17 269-23-09; +375 17 347-23-09; +375 17 269-23-39; +375 17 269-23-60,info@rrbbank.by,,A,собран
БТА Банк,Банки,btabank.by,Зам. по цифровизации / IT-директор,Председатель правления — Титов А.; Председатель совета директоров — Маренов С.,+375 17 334-54-34; +375 17 311-32-32; +375 44 528-22-82; +375 29 528-22-82; +375 25 528-22-82; +375 17 311-32-55; +375 17 299-25-25; +375 17 289-58-22,info@btabank.by,,A,собран
Цептер Банк,Банки,zepterbank.by,Зам. по цифровизации / IT-директор,Председатель правления — Игнатов А.,+375 17 287-95-95; 7817; +375 29 145-95-95; +375 29 293-95-95,info@zepterbank.by,,A,собран
